area_type_Super built-up  Area,area_type_Plot  Area,area_type_Built-up  Area,area_type_Carpet  Area,availability,location_0,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,location_9,location_10,location_11,size,total_sqft,bath,balcony,price
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,1,8,3000.0,8.0,0.0,140.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1100.0,2.0,1.0,62.0
1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,1,1,0,0,1,0,2,1140.0,2.0,3.0,43.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1220.0,2.0,1.0,57.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,1,1,8,1350.0,7.0,0.0,85.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1005.0,2.0,1.0,36.68
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,500.0,3.0,2.0,100.0
1.0,0.0,0.0,0.0,8,0,0,0,0,0,0,1,0,1,1,0,0,2,1358.0,2.0,1.0,80.58
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,1569.0,3.0,1.0,101.0
1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,1,1,0,1,1,0,2,1240.0,2.0,1.0,70.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,1,3,2089.0,3.0,2.0,140.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1206.0,2.0,1.0,48.23
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,1150.0,2.0,3.0,40.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,2511.0,3.0,3.0,205.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,460.0,1.0,0.0,22.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,0,6,4400.0,6.0,3.0,250.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,1660.0,2.0,2.0,105.0
0.0,0.0,1.0,0.0,10,0,0,0,0,0,0,1,1,0,1,1,1,4,3203.5,2.0,2.0,224.5
1.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,1,0,1,1,2,1326.0,2.0,2.0,78.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,1325.0,2.0,2.0,60.8
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,1499.0,5.0,2.0,102.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,0,1,6,3000.0,7.0,2.0,210.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,1665.0,3.0,2.0,88.0
1.0,0.0,0.0,0.0,9,0,0,0,0,0,1,0,0,0,0,0,0,2,708.0,2.0,2.0,37.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1060.0,2.0,2.0,58.06
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,710.0,6.0,3.0,160.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,1000.0,2.0,2.0,70.0
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,1,1,0,0,1,2,1000.0,2.0,1.0,28.88
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,1450.0,2.0,2.0,70.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,1200.0,4.0,2.0,155.0
1.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,1,0,1,0,1,2,1296.0,2.0,3.0,80.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1540.0,3.0,2.0,90.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,2894.0,4.0,1.0,245.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,1330.0,2.0,1.0,48.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1200.0,2.0,1.0,65.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,1200.0,3.0,1.0,90.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,2502.0,3.0,3.0,138.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,650.0,1.0,1.0,17.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2400.0,2.0,1.0,150.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1007.0,2.0,2.0,43.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1200.0,2.0,2.0,50.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,966.0,2.0,2.0,49.9
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,1,1,0,1,3,1630.0,2.0,1.0,98.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1640.0,3.0,2.0,229.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,782.0,2.0,2.0,55.68
1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,1,0,1,1,0,1,2,1260.0,2.0,2.0,66.78
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,1,1,1,3,1800.0,3.0,3.0,120.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1413.0,2.0,2.0,75.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1116.0,2.0,1.0,51.91
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1530.0,2.0,1.0,45.9
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,3700.0,4.0,1.0,225.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,2497.0,3.0,2.0,140.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,1540.0,2.0,3.0,64.0
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,1,0,1,0,1,3,1436.0,3.0,1.0,74.75
1.0,0.0,0.0,0.0,6,0,0,0,0,0,1,0,1,0,0,1,0,2,1100.0,2.0,2.0,75.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,276.0,3.0,3.0,23.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1427.0,3.0,2.0,120.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,2061.0,3.0,1.0,200.0
1.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,1,1,1,0,0,4,5611.5,4.0,0.0,477.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,2650.0,4.0,2.0,150.0
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,1,0,1,1,0,1,3,1282.0,2.0,2.0,68.52
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,1050.0,2.0,1.0,34.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,1600.0,3.0,2.0,65.0
1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,1,0,1,1,1,2,945.0,2.0,1.0,54.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1500.0,2.0,1.0,78.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,0,0,1,7,950.0,7.0,0.0,115.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,1870.0,3.0,3.0,110.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1600.0,3.0,1.0,75.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,880.0,1.0,1.0,16.5
0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,0,1,0,4,1200.0,4.0,0.0,210.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,0,1,1,3,1535.0,3.0,2.0,83.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,950.0,2.0,1.0,57.0
1.0,0.0,0.0,0.0,8,0,0,0,0,0,0,1,0,1,1,0,1,2,1360.0,2.0,1.0,65.0
1.0,0.0,0.0,0.0,3,0,0,0,0,0,1,0,1,1,1,0,0,2,1073.5,2.0,0.0,54.005
1.0,0.0,0.0,0.0,5,0,0,0,0,0,1,0,1,1,1,0,1,3,1280.0,3.0,1.0,50.4
1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,1,1,1,1,0,3,1260.0,2.0,2.0,85.05
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,1,8,5000.0,8.0,2.0,250.0
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,1,1,0,1,1,5,3050.0,5.0,1.0,213.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1563.05,3.0,1.0,105.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,1000.0,2.0,1.0,60.0
1.0,0.0,0.0,0.0,7,0,0,0,0,0,1,0,1,1,1,1,1,2,1167.0,2.0,1.0,43.76
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,4000.0,7.0,2.0,225.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1828.0,3.0,2.0,110.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,890.0,2.0,1.0,35.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,1612.0,3.0,3.0,46.74
0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,1,6,1034.0,5.0,2.0,185.0
1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0,1,1,1,0,3,1710.0,4.0,2.0,91.31
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,957.0,2.0,1.0,58.0
1.0,0.0,0.0,0.0,5,0,0,0,0,0,1,1,0,0,1,0,1,3,1250.0,2.0,3.0,44.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,1,1,0,3,2795.0,4.0,2.0,235.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,1125.0,2.0,2.0,50.0
1.0,0.0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0,0,1,2,1020.0,2.0,1.0,30.6
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,1200.0,2.0,2.0,50.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1735.0,3.0,3.0,135.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2050.0,3.0,1.0,145.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,3750.0,4.0,0.0,760.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,1,0,1,0,0,1,3,1350.0,2.0,3.0,48.0
1.0,0.0,0.0,0.0,5,0,0,0,0,0,1,1,0,1,0,1,0,2,1063.0,2.0,1.0,32.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,0,1,1,3,1904.0,3.0,1.0,150.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4200.0,4.0,2.0,420.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,1,0,0,3,2000.0,3.0,1.0,175.0
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,0,0,1,1,0,1,2,1242.5,2.0,0.0,43.49
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,1,0,1,3,1425.0,2.0,2.0,75.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1500.0,2.0,1.0,64.5
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1060.0,2.0,1.0,60.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,1,0,1,1,1,0,3,1470.0,2.0,2.0,70.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,1,1,1,1,6,1300.0,6.0,0.0,99.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,450.0,1.0,1.0,11.0
1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,1,1,0,0,1,2,1152.0,2.0,1.0,64.5
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1350.0,2.0,1.0,56.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0,1,3,1550.0,3.0,3.0,65.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,0,3,1500.0,3.0,2.0,100.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,1,1,5,600.0,3.0,2.0,85.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,400.0,1.0,0.0,14.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,705.0,1.0,2.0,67.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,770.0,1.0,1.0,36.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,1242.0,2.0,3.0,51.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,1,0,1,3,1700.0,3.0,2.0,155.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2144.0,3.0,2.0,145.0
1.0,0.0,0.0,0.0,6,0,0,0,0,0,1,1,1,0,1,1,0,3,1704.0,3.0,2.0,110.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1070.0,2.0,1.0,52.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,1,1,1,3,1846.0,3.0,2.0,300.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,1340.0,2.0,2.0,55.7
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1025.0,2.0,1.0,46.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1277.5,2.0,0.0,56.8
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1200.0,2.0,2.0,52.0
0.0,0.0,1.0,0.0,12,0,0,0,0,0,0,0,1,1,1,1,0,4,2250.0,4.0,1.0,110.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,1550.0,2.0,3.0,80.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,1200.0,5.0,2.0,325.0
0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,0,1,0,7,1800.0,7.0,1.0,250.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1200.0,2.0,2.0,60.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1327.0,2.0,2.0,98.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1186.0,2.0,2.0,58.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,1,1,1,0,1,1,3,1783.0,3.0,1.0,115.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,1400.0,3.0,2.0,56.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,980.0,2.0,1.0,48.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1285.0,2.0,2.0,82.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,912.0,2.0,1.0,70.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1225.0,2.0,2.0,47.6
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1075.0,2.0,1.0,53.0
0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,1,3,1260.0,2.0,2.0,54.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,1282.0,2.0,2.0,48.7
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,1,1,0,3,1909.0,3.0,2.0,88.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1359.0,2.0,1.0,87.0
0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1207.0,2.0,2.0,43.5
0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1736.0,6.0,0.0,190.0
1.0,0.0,0.0,0.0,5,0,0,0,0,1,0,0,0,0,0,1,0,4,2850.0,4.0,1.0,428.0
1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1595.0,3.0,2.0,65.0
0.0,0.0,1.0,0.0,6,0,0,0,0,1,0,0,0,0,1,0,0,3,1798.0,3.0,2.0,89.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,1475.0,3.0,2.0,78.29
1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,1580.0,3.0,3.0,100.0
1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,1295.0,2.0,1.0,65.0
0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,1,6,3600.0,6.0,0.0,141.0
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,589.0,1.0,1.0,27.0
1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1415.0,3.0,3.0,78.0
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,1,0,0,0,1,1,3,1787.0,3.0,2.0,98.29
1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1787.0,3.0,2.0,125.0
1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,1475.0,2.0,3.0,90.0
0.0,0.0,1.0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,2000.0,4.0,1.0,75.5
1.0,0.0,0.0,0.0,3,0,0,0,0,0,0,1,0,0,0,1,1,2,984.0,2.0,1.0,44.28
1.0,0.0,0.0,0.0,12,0,0,0,0,0,0,1,0,1,1,0,1,3,1630.0,2.0,2.0,74.82
1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,1,3,2405.0,4.0,2.0,260.0
